"Code","Description"
"VGTB:WFFL:FRTG","Potato fritters, grilled / baked"
"VGTB:WFFL:HSBF","Hash browns, fried"
"VGTB:WFFL:HSBG","Hash browns, grilled / baked"
"VGTB:WFFL:PCRQ","Potato croquettes"
"VGTB:WFFL:WFLF","Potato waffles/ Smilies, fried"
"VGTB:WFFL:WFLG","Potato waffles/ Smilies, grilled / baked"
"YGRT:FFRS:FRFR","Fromage frais flavoured or with fruit"
"YGRT:FFRS:LFFF","Fromage frais, low fat"
"YGRT:MOUS:CDDC","Chocolate dairy desserts e.g. rolo dessert"
"YGRT:MOUS:CHMS","Chocolate mousse"
"YGRT:MOUS:CRDS","Cream desserts choc / caramel / fruit flavoured e.g creme caramel"
"YGRT:MOUS:FMSE","Fruit flavoured mousse"
"YGRT:MOUS:FRMS","Frozen mousse"
"YGRT:MOUS:RMSE","Rich chocolate mousse"
"YGRT:TWIN:TWCR","Yoghurt, Twin pot with crumble e.g.Muller corner"
"YGRT:TWIN:TWFT","Yoghurt, Twin pot with fruit e.g.Muller corner"
"YGRT:YGHT:FFFY","Fruit yoghurt"
"YGRT:YGHT:FFNY","Natural yoghurt"
"YGRT:YGHT:FYFN","Fruit yoghurt with fruit and nuts"
"YGRT:YGHT:FYLN","Fruit yoghurt, low fat with fruit and nuts"
"YGRT:YGHT:LFFY","Fruit yoghurt, low fat"
"YGRT:YGHT:LFNY","Natural Yoghurt, low fat"
"YGRT:YGHT:VLFY","Very low fat Yoghurt"
"BSCT:DGST:CHBN","Chocolate digestives with oats, e.g. chocolate Hob nobs"
"ICEL:ICEC:FICD","Ice cream desserts e.g. Sonata, Viennetta"
"MEAT:LSGN:MLAS","Meat lasagne"
"MEAT:LSGN:VLAS","Vegetable lasagne"
"MEAT:LSGN:VMLS","Vegemince lasagne e.g. made with quorn"
"DRNK:SOFT:FLUC","Fizzy energy drink, e.g. Lucozade sport, Relentless, Red bull- in a can"
"DRNK:SOFT:CLUC","Fizzy energy drink, e.g. Lucozade sport, Relentless, Red bull- in a glass"
"DRNK:SOFT:BLUC","Fizzy energy drink, e.g. Lucozade sport, Relentless, Red bull- in a carton/bottle"
"DRNK:SOFT:SLUC","Still energy drink, eg Lucozade Hydroactive, Gatorade, Powerade - in a can"
"DRNK:SOFT:SBLZ","Still energy drink, eg Lucozade Hydroactive, Gatorade, Powerade - in a carton/bottle"
"DRNK:SOFT:SCLZ","Still energy drink, eg Lucozade Hydroactive, Gatorade, Powerade - in a glass"
"DRNK:SOFT:MFJT","Mixed fruit juice- in a can"
"DRNK:SOFT:OJCC","Orange juice, from concentrate, e.g. Britvic- in a can"
"DRNK:SOFT:BCJC","Blackcurrant squash, e.g ribena- in a can"
"DRNK:SOFT:COLC","Cola, not diet, any flavour e.g. cherry cola etc - in a can"
"DRNK:SOFT:DCSC","Diet cola, any flavour e.g. diet cherry coke - in a can"
"DRNK:SOFT:DIBC","Diet irn bru - in a can"
"DRNK:SOFT:DCMC","Diet lemonade - in a  can"
"DRNK:SOFT:DRPC","Dr Pepper - in a can"
"DRNK:SOFT:FFJT","Fruit flavour juice, ready to drink - in a can"
"DRNK:SOFT:FZFC","Fizzy fruit juice drink- in a can"
"DRNK:SOFT:INBC","Irn bru - in a can"
"DRNK:SOFT:LMNT","Lemonade - in a can"
"DRNK:SOFT:LUCC","Lucozade - in a can"
"DRNK:SOFT:MFRC","Mixed fruit juice, ready to drink - in a can"
"DRNK:SOFT:SNUC","Sprite/ 7 up - in a can"
"BRED:BRDR:SNDW","Sandwich"
"BRED:CRUM:PASS","Sweet or savoury pancakes"
"SUGR:HNEY:HONY","Honey, in spoonfuls"
"MEAT:SSGS:LORN","Lorne Sausage"
"CONF:CNDY:FFLA","Fruit flavoured laces"
"MEAT:CCRY:CTCY","Chicken/ Turkey curry"
"MEAT:CCRY:CCFT","Chicken/ Turkey curry, from takeaway"
"CRPS:CRSP:DISC","Discos Crisps, all flavours"
"CRPS:TTCH:TTCP","Tortilla chips"
